score,listing_id,title,state,industry,asking_price,cash_flow_sde,gross_revenue,employees,location,flags,url
10,1979015,High Profit Window Cleaning Business For Sale in Fort Worth!,texas,service,,,,,"Fort Worth, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-profit-window-cleaning-business-for-sale-in-fort-worth/1979015/
10,2465821,Home Improvement Siding Business for Sale in Dallas,texas,service,,79552,,,"Dallas, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/home-improvement-siding-business-for-sale-in-dallas/2465821/
10,2495686,Full-Service Business Brokerage & Commercial Real Estate,texas,service,,,,,"Collin County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/full-service-business-brokerage-and-commercial-real-estate/2495686/
10,2492722,Very Profitable & Scaleable Commercial Electrical Company for Sale,texas,service,,1507251,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/very-profitable-and-scaleable-commercial-electrical-company-for-sale/2492722/
10,2480839,Monster Fire Restoration & Roofing GC in DFW- Expansion Ready,texas,building-and-construction,,776581,,,"Collin County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/monster-fire-restoration-and-roofing-gc-in-dfw-expansion-ready/2480839/
10,2301239,"Successful, Very Well-Established Granite Co w/ 3 Locations in Texas!",texas,building-and-construction,,,,,"Graham, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/successful-very-well-established-granite-co-w-3-locations-in-texas/2301239/
10,2482660,"Trusted Flooring, Kitchen & Bath Designer Showroom - Prime Location",texas,building-and-construction,,140000,,,"Sugar Land, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/trusted-flooring-kitchen-and-bath-designer-showroom-prime-location/2482660/
10,2462333,Innovative Mobile Home Screening Company,texas,building-and-construction,,164353,,,"Katy, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/innovative-mobile-home-screening-company/2462333/
10,2419335,Specializes in Underground Utility Services,texas,building-and-construction,,850596,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/specializes-in-underground-utility-services/2419335/
10,2372498,Lumber and Building Supply Retailer,texas,building-and-construction,,463942,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/lumber-and-building-supply-retailer/2372498/
10,2462580,Premium Power Wash Operation with Modern System,texas,building-and-construction,,446382,,,"Waco, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/premium-power-wash-operation-with-modern-system/2462580/
10,2424106,40-Year-Old Metal Extrusions Business For Sale,texas,building-and-construction,,,,,"Smith County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/40-year-old-metal-extrusions-business-for-sale/2424106/
10,2483564,"Profitable Pool Construction & Renovation Business, North Texas",texas,building-and-construction,,500000,,,"Cedar Hill, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-pool-construction-and-renovation-business-north-texas/2483564/
10,2491649,53-yr old ROOFING BUSINESS for sale/GM in place/7.8M GROSS/1.5M EBITDA,texas,building-and-construction,,1540000,,,"Fort Worth, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/53-yr-old-roofing-business-for-sale-gm-in-place-7-8m-gross-1-5m-ebitda/2491649/
10,2491376,Essential Home Services – 5 Streams of Revenue,texas,building-and-construction,,,,,"Round Rock, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/essential-home-services-5-streams-of-revenue/2491376/
10,2406997,Profitable Cabinet and Storage Opportunity with Strong Cashflow,texas,building-and-construction,,220000,,,"Dallas, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-cabinet-and-storage-opportunity-with-strong-cashflow/2406997/
10,2487504,Flooring Biz. Desired Territory. Rising Revenue. Positive Cash Flow.,texas,building-and-construction,,,,,"Travis County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/flooring-biz-desired-territory-rising-revenue-positive-cash-flow/2487504/
10,2487065,"Retail Home Improvement & Flooring In Sugar Land, TX",texas,building-and-construction,,108488,,," Flooring In Sugar Land, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/retail-home-improvement-and-flooring-in-sugar-land-tx/2487065/
10,2488641,Heavy Machinery Service and Repair Company,texas,building-and-construction,,,,,"Cypress, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/heavy-machinery-service-and-repair-company/2488641/
10,2464204,Roofing Business Opportunity - Magnolia / Woodlands Area,texas,building-and-construction,,,,,"Magnolia, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/roofing-business-opportunity-magnolia-woodlands-area/2464204/
10,2487563,"Oilfield Services for Sale in Ector County, Texas",texas,building-and-construction,,361375,,,"Ector County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/oilfield-services-for-sale-in-ector-county-texas/2487563/
10,2487355,High-Performing Multi-Unit Top Rail Fence Franchise,texas,building-and-construction,,,,,"Irving, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-performing-multi-unit-top-rail-fence-franchise/2487355/
10,2485329,Residential Roofing Business with Strong Demand,texas,building-and-construction,,180000,,,"Houston, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/residential-roofing-business-with-strong-demand/2485329/
10,2464373,Established Houston Roofing and Remodeling Professionals,texas,building-and-construction,,324891,,,"Harris County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-houston-roofing-and-remodeling-professionals/2464373/
10,2462245,Window Replacement Company-Sales and Installation,texas,building-and-construction,,110365,,,"Rockwall, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/window-replacement-company-sales-and-installation/2462245/
10,2488523,High-Margin Art & Textile Disaster Recovery Experts,arkansas,service,,415173,,,"Bentonville, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/high-margin-art-and-textile-disaster-recovery-experts/2488523/
10,2366060,31-Year Legacy Landscaping Business,arkansas,service,,,,,"Lonoke County, AR",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/31-year-legacy-landscaping-business/2366060/
10,2488007,Trusted Home Cleaning Business with Deep Community Roots,arkansas,service,,,,,"Little Rock, AR",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/trusted-home-cleaning-business-with-deep-community-roots/2488007/
10,2471009,Long-Established Full-Service Optometry Practice Serving NWA,arkansas,service,,146026,,,"Benton County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/long-established-full-service-optometry-practice-serving-nwa/2471009/
10,2462177,Established Multi-Therapist Counseling Practice with Strong Brand,arkansas,service,,120000,,,"Benton County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-multi-therapist-counseling-practice-with-strong-brand/2462177/
10,2435077,"Low investment, Passive, with reoccurring revenue: Dog Waste Pick Up",arkansas,service,,148500,,,"Bentonville, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/low-investment-passive-with-reoccurring-revenue-dog-waste-pick-up/2435077/
10,2272514,Established Valet Trash Business for Sale- NET PROFIT,arkansas,service,,,,,"Little Rock, AR",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-valet-trash-business-for-sale-net-profit/2272514/
10,2202235,"Little Rock, AR- Simple Ops, Automotive franchise",arkansas,service,,580000,,,"Little Rock, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/little-rock-ar-simple-ops-automotive-franchise/2202235/
10,2367328,Regional Home Improvement & Remodeling Business,arkansas,building-and-construction,,658062,,,"Washington County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/regional-home-improvement-and-remodeling-business/2367328/
10,2489152,Home Service Business,arkansas,building-and-construction,,100000,,,"White County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/home-service-business/2489152/
